Key,Values
ch,"a,e,i,l,m,o,r,u,v,w,y"
ci,"a,b,c,d,e,f,g,h,k,l,m,n,o,p,r,s,t,u,v,z"
cl,"a,e,i,o,u,y"
cm,"a,i"
cn,o
co,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,p,q,r,s,t,u,v,w,x,y,z"
cr,"a,e,i,n,o,u,y"
cs,"a,e,i,o"
cu,"a,b,c,d,e,f,g,i,j,k,l,m,n,o,p,r,s,t,v,x,y,z"
cv,"a,e,i"
cw,"a,i,y"
cy,"b,c,d,g,l,m,n,p,r,s,t,w"
cz,"a,e,i,l,o,u,y"
da,"b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
dc,"o,r,u"
de,"a,b,c,d,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
dh,"a,e,i,o,r,u"
di,"a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,z"
dj,"a,e,o,u"
dl,"a,e,o,u"
dm,"e,i,o,u,y"
do,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,p,r,s,t,u,v,w,x,y,z"
dr,"a,d,e,i,l,n,o,u,w,y,z"
ds,"a,c,i,o"
du,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,v,w,x,y,z"
dv,"e,i,o"
dw,"a,e,i,o,y"
dy,"a,b,c,d,e,g,j,k,l,m,n,o,r,s,v"
dz,"a,i,u,w,y"
ea,"b,c,d,f,g,h,k,l,m,n,p,r,s,t,v,y"
eb,"a,e,i,k,l,m,n,o,r,s,u,y"
ec,"h,k,l,o,r,t"
ed,"a,b,e,f,g,h,i,k,l,m,n,o,q,r,s,u,v,w,y"
ef,"a,e,i,l,r,s,t,u"
eg,"a,b,d,e,h,i,l,n,o,r,s,t,u,w,y"
eh,"a,e,i,l,m,n,o,r,s"
ei,"b,c,d,e,f,g,k,l,m,n,p,r,s,t,v,x,y,z"
ej,"a,i"
ek,"a,b,d,e,h,i,l,m,n,o,p,r,s,u,v,w"
el,"a,b,c,d,e,f,g,h,i,k,m,n,o,p,q,r,s,t,u,v,w,y,z"
em,"a,b,c,d,e,f,g,h,i,k,l,o,p,r,s,t"
en,"a,b,c,d,e,f,g,h,i,j,k,l,m,o,q,r,s,t,w,y,z"
eo,"d,f,m,n,v"
ep,"e,h,i,k,l,n,o,r,s,t"
eq,u
er,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,s,t,v,w,x,z"
es,"a,b,c,d,e,f,g,h,k,l,m,n,o,p,q,r,t,w,z"
et,"c,e,g,h,i,k,l,m,n,o,r,s,u,w,z"
eu,"a,b,c,d,e,f,g,h,k,l,m,n,p,r,s,t,y"
ev,"a,e,i,j,o,r"
ew,"a,b,e,i,o,r,t,y"
ex,"a,c,e,f,i,l,n,o,p,s,t,u"
ey,"a,b,c,d,e,g,i,l,m,n,o,r,s,t,z"
ez,"a,e,i,p,q,r"
fa,"b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,r,s,t,u,v,w,x,y,z"
fe,"a,b,c,d,f,g,h,i,j,k,l,m,n,o,q,r,s,t,u,v,w,x,y,z"
fi,"a,b,c,d,e,f,g,j,k,l,m,n,o,p,q,r,s,t,u,v,x,z"
fj,e
fl,"a,e,i,o,u,y"
fn,u
fo,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,p,r,s,t,u,w,x,y,z"
fr,"a,e,i,n,o,u,y"
fu,"a,c,d,e,g,h,i,j,k,l,m,n,o,q,r,s,t,x,z"
fy,"a,d,e,f,k,l,n,o,t,v"
ga,"b,c,d,e,f,g,h,i,j,l,m,n,o,p,r,s,t,u,v,w,x,y,z"
gb,"a,u"
gd,"o,u"
ge,"a,b,c,d,f,g,h,i,k,l,m,n,o,p,r,s,t,u,v,w,x,y,z"
gf,"e,r"
gh,"a,e,i,o,r,u"
gi,"a,b,c,d,e,f,g,j,k,l,m,n,o,p,r,s,t,u,v,w,x,z"
gj,"a,e,i,o,u"
gl,"a,e,i,o,u,y"
gm,"a,e,i,u,y"
gn,"a,e,i,o"
go,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,p,r,s,t,u,v,w,y,z"
gr,"a,b,c,d,e,g,h,i,o,u,y,z"
gs,"c,e"
gu,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,r,s,t,v,y,z"
gw,"a,e,i,o,y"
gy,"a,d,e,g,i,l,n,o,s,u"
ha,"b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
he,"a,b,c,d,f,g,h,i,j,k,l,m,n,o,p,r,s,t,u,v,w,x,y,z"
hi,"a,b,c,d,e,g,j,k,l,m,n,o,p,r,s,t,u,v,x,y,z"
hj,"e,o"
hl,"a,e,i,y"
hm,"i,u"
hn,"a,e,i"
ho,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,p,q,r,s,t,u,v,w,x,y,z"
hr,"a,b,d,e,i,n,o,u,v,y"
hs,"e,i,u"
ht,"a,e,o,u,w"
hu,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,v,w,x,y,z"
hv,"e,i"
hw,"a,e,o,u"
hy,"a,b,c,d,e,i,j,k,l,m,n,o,p,r,s,t,u,v,z"
ia,"b,c,d,e,f,i,m,n,p,q,r,s,t,v,z"
ib,"a,e,i,o,r,s,u"
ic,"a,b,e,h,k,o,z"
id,"a,e,i,l,n,o,r,s,z"
ie,"h,m,n,o,r,z"
if,"i,k,l,r,t"
ig,"a,b,e,h,i,l,n,o,r,u,w"
ih,"a,d,e,l,m,n,r,s"
ij,a
ik,"a,e,n,o,p,r,u"
il,"a,d,e,g,i,j,k,n,o,s,t,u,v,y"
im,"a,b,d,e,f,g,h,i,l,o,p,r,s,t,u,w"
in,"a,b,c,d,e,f,g,i,k,l,m,o,s,t,v,w,y,z"
io,"a,b,c,d,e,f,l,n,p,r,s,t,v,z"
ip,"a,e,i,o,s"
iq,b
ir,"a,b,e,f,g,i,l,m,o,s,u,v,w,z"
is,"a,b,c,d,e,g,h,i,k,l,m,n,o,p,q,r,t,u,z"
it,"a,c,e,h,k,n,o,r,s,u,w,z"
iu,"l,r,z"
iv,"a,e,i,k,o,r,y"
iw,"a,e,i,u"
ix,"c,t"
iy,"a,e"
iz,"a,b,e,g,l,n,o,q,r,s,u,w,y"
ja,"b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
jb,a
je,"a,b,c,d,f,g,h,i,k,l,m,n,o,p,r,s,t,u,v,w,x,y,z"
jh,"a,o,u"
ji,"a,b,c,e,g,h,j,l,m,n,o,p,r,s,t,v,w"
jn,"b,o"
jo,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,p,r,s,u,v,w,y,z"
ju,"a,b,c,d,e,f,g,h,i,k,l,m,n,p,r,s,t,v,z"
jy,l
ka,"b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,y,z"
ke,"a,b,c,d,f,g,h,i,k,l,m,n,o,p,r,s,t,u,v,w,x,y,z"
kf,o
kh,"a,e,i,o,u,w,y"
ki,"a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,r,s,t,v,w,x,y,z"
kj,"a,e,o"
kl,"a,c,e,i,j,o,u,y"
km,"a,e,i,o"
kn,"a,e,i,o,u,y"
ko,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,p,r,s,t,u,v,w,x,y,z"
kp,a
kr,"a,c,e,i,m,o,p,s,u,y,z"
ks,"h,i,o"
ku,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,r,s,t,v,w,x,y,z"
kv,"a,e,i"
kw,"a,e,i,o,u"
ky,"a,b,d,e,g,h,i,k,l,m,n,o,p,r,s,t,u,z"
la,"b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
le,"a,b,c,d,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
lh,"a,e,o,u"
li,"a,b,c,d,e,f,g,j,k,l,m,n,o,p,q,r,s,t,u,v,w,y,z"
lj,u
ln,u
lo,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,p,r,s,t,u,v,w,x,y,z"
lu,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,v,x,y,z"
lw,"a,i"
ly,"a,b,c,d,e,f,g,k,l,m,n,o,r,s,t,u,v,z"
lz,u
ma,"b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
mb,"a,e,o,u,y"
mc,"a,b,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,z"
me,"a,b,c,d,f,g,h,i,j,k,l,m,n,o,p,r,s,t,u,v,w,x,y,z"
mg,u
mh,"a,o"
mi,"a,c,d,e,f,g,h,j,k,l,m,n,o,q,r,s,t,u,v,w,x,y,z"
mj,"e,o"
mk,"h,r"
ml,"a,e,i,n,o,s,y"
mn,"a,i"
mo,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,p,q,r,s,t,u,v,w,x,y,z"
mp,o
mr,"a,k,n,o,s,u"
mu,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,r,s,t,w,x,y,z"
mw,a
my,"a,c,d,e,g,h,i,j,k,l,n,o,r,s,t,u,v"
na,"b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,y,z"
nc,u
nd,"a,e,i,l,o,r,u"
ne,"a,b,c,d,f,g,h,i,j,k,l,m,n,o,p,r,s,t,u,v,w,y,z"
ng,"a,e,h,i,o,u,w,y"
nh,"a,e,i,o,u"
ni,"a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
nj,"a,e,i,o,u"
nk,"a,o,r,w"
no,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,p,r,s,t,u,v,w,x,y,z"
ns,"i,u"
nt,"i,u"
nu,"a,b,c,d,e,f,g,h,i,k,l,m,n,o,p,q,r,s,t,v,w,x,y,z"
nw,"a,e,i,o"
ny,"a,b,c,d,e,f,g,h,i,k,l,m,o,p,q,r,s,t,u,z"
nz,"e,u"
oa,"c,k,l,n,r,s,t,x"
ob,"a,e,i,j,l,n,o,r,s,u,y"
oc,"a,e,h,k,l,o,r,t,u,z"
od,"a,e,g,h,i,l,m,n,o,r,u,w,y,z"
oe,"c,d,f,h,i,l,m,n,r,s,t,u,y"
of,"a,e,i,l,m,n,o,r,s,t"
og,"a,b,d,e,i,l,n,o,r,s,u,w"
oh,"a,d,e,i,l,m,n,o,r,s,t"
oi,"e,l,n,s,t,u"
oj,"a,e,h,i,o,u"
ok,"a,e,i,l,o,p,r,s,t,u,w,y"
ol,"a,b,c,d,e,f,g,h,i,k,m,n,o,p,r,s,t,u,v,w,y,z"
om,"a,b,d,e,i,l,o,p,r,s,t,u,v"
on,"a,c,d,e,g,i,k,l,o,q,s,t,u,w,y"
op,"a,b,d,e,f,g,h,i,l,o,r,s,u,y"
oq,u
or,"a,b,c,d,e,f,g,i,j,k,l,m,n,o,p,q,s,t,u,v,w,y,z"
os,"a,b,c,e,g,h,i,k,l,m,n,o,p,t,u,v,w,z"
ot,"a,c,e,h,i,j,l,n,o,r,s,u,v,w,y,z"
ou,"a,b,c,d,e,g,i,k,l,m,n,r,s,t,v,w,y,z"
ov,"a,c,e,i,s"
ow,"a,c,e,i,l,n,o,r,s,u,y"
ox,"b,e,f,i,l,m,n,s,t"
oy,"a,e,l,o,s,u"
oz,"a,b,c,d,e,g,i,k,l,m,o,t,u"
pa,"b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
pe,"a,b,c,d,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
pf,"a,e,i,l,o,r,u"
ph,"a,e,i,l,o,r,u,y"
pi,"a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,z"
pj,e
pl,"a,e,i,o,u,y,z"
pn,i
po,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,p,q,r,s,t,u,v,w,x,y,z"
pr,"a,c,e,i,o,p,u,y,z"
ps,"a,e,h,i,o,z"
pt,"a,o"
pu,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,r,s,t,v,y,z"
py,"a,b,c,e,f,g,k,l,m,n,o,p,r,s,t,u,z"
qa,"d,i,m,n,q,s,y,z"
qi,"a,n,u"
qo,s
qu,"a,d,e,i,n,o,r,t,y"
ra,"b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
rc,o
re,"a,b,c,d,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
rh,"a,e,i,o,u,y"
ri,"a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,q,r,s,t,u,v,x,z"
rm,a
ro,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,p,q,r,s,t,u,v,w,x,y,z"
ru,"a,b,c,d,e,f,g,h,i,k,l,m,n,o,p,r,s,t,v,w,x,y,z"
ry,"a,b,c,d,e,f,g,h,k,l,m,n,o,p,s,t,u,v,z"
rz,"a,e,o,u"
sa,"b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
sb,"a,e,l,o,r"
sc,"a,e,h,i,l,m,o,r,u,y,z"
sd,a
se,"a,b,c,d,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
sf,"e,i,o,r"
sg,"a,o,r,u"
sh,"a,c,e,i,k,l,m,n,o,p,r,t,u,v,w,y"
si,"a,b,c,d,e,f,g,h,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
sj,"a,e,o,u"
sk,"a,e,i,j,l,o,r,u,v,w,y"
sl,"a,e,i,o,u,y"
sm,"a,e,i,o,r,t,u,y"
sn,"a,e,i,o,u,y"
so,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,p,q,r,s,t,u,v,w,x,y,z"
sp,"a,e,h,i,j,l,o,r,u,y"
sq,u
sr,"a,b,d,e,i,n,o,p,s,u,y"
st,"a,b,c,d,e,f,g,h,i,j,l,m,o,p,r,s,u,v,w,y"
su,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,v,w,y,z"
sv,"a,e,i,o,r"
sw,"a,e,i,o,y"
sy,"a,b,c,d,e,f,h,k,l,m,n,p,r,s,t,v,x,z"
sz,"a,c,e,i,k,l,m,o,p,t,u,w,y"
ta,"b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
tc,h
te,"a,b,c,d,f,g,h,i,j,k,l,m,n,o,p,r,s,t,u,v,w,x,y,z"
th,"a,e,i,l,o,r,u,w,y"
ti,"a,b,c,d,e,f,g,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,z"
tj,"a,e,i,o"
tk,a
tl,"a,o,u"
to,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,p,q,r,s,t,u,v,w,x,y,z"
tr,"a,b,c,e,i,k,l,n,o,u,y,z"
ts,"a,c,e,h,i,o,u,v,y"
tu,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,v,x,y,z"
tv,"e,r"
tw,"a,e,i,o,u,y"
ty,"a,b,c,d,e,g,h,k,l,m,n,o,q,r,s,t,u"
tz,"e,i,o,u"
ub,"a,e,i,l,r,u"
uc,"a,e,h,k,l"
ud,"a,e,i,o,s,u,y"
ue,"b,c,d,h,k,l,m,n,r,s,t"
uf,"e,h,k,r"
ug,"a,l,o,u,w"
uh,"d,e,i,l,m,r"
ui,"b,h,t"
uj,v
uk,"a,e,l,o,p"
ul,"a,b,c,d,e,f,h,i,m,n,o,r,s,t,u,v,w,y"
um,"a,b,e,f,h,i,l,n,o,p,r,s"
un,"a,b,c,d,e,f,g,i,k,l,o,p,r,s,t,u,v,w,z"
uo,n
up,"a,c,d,e,f,h,k,l,m,o,r,s,t,w"
uq,"d,u"
ur,"a,b,c,d,e,f,g,h,i,k,l,m,n,o,p,q,s,t,u,v,w,y,z"
us,"a,c,e,h,i,k,l,m,n,o,q,r,t,u,y,z"
ut,"a,e,h,i,k,l,n,o,r,s,u,z"
uv,"a,e,i"
uw,"a,i"
uy,"e,s"
uz,"a,c,e,h,i,o,u"
va,"c,d,e,f,g,h,i,j,k,l,m,n,p,q,r,s,t,u,v,w,x,y,z"
ve,"a,b,c,d,g,h,i,j,k,l,m,n,o,r,s,t,u,v,x,y,z"
vi,"a,b,c,d,e,f,g,j,k,l,n,o,p,q,r,s,t,u,v,x,z"
vl,"a,c,e,i,k"
vn,u
vo,"a,b,c,d,e,g,h,i,j,k,l,m,n,p,r,s,t,u,v,w,x,y,z"
vr,"a,b,c,e,i,o,t,u,y"
vs,e
vu,"c,e,g,i,j,k,l,n,o,p,r,s,y"
vy,"a,b,e,h,s,v"
wa,"b,c,d,e,f,g,h,i,j,k,l,m,n,p,q,r,s,t,u,v,w,x,y,z"
wc,i
wd,o
we,"a,b,c,d,f,g,h,i,l,m,n,p,r,s,t,u,v,w,x,y"
wh,"a,e,i,o,r,y"
wi,"a,b,c,d,e,f,g,j,k,l,m,n,o,p,r,s,t,u,v,w,x,y,z"
wl,"a,e,o"
wn,"e,o,u"
wo,"b,c,d,e,f,g,h,i,j,k,l,m,n,p,r,s,t,u,w,x,y,z"
wr,"a,e,i,o,u,y,z"
ws,z
wu,"b,c,d,e,j,k,l,n,o,r,s,t"
wy,"a,b,c,d,e,f,g,k,l,m,n,p,r,s,t,v,z"
wz,o
xa,"n,v,y"
xe,"c,l,n,r"
xi,"a,c,e,l,m,n,o,q,u"
xo,"c,l"
xu,"a,e,m,n"
ya,"b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
yb,a
yc,a
yd,"e,r"
ye,"a,b,c,d,f,g,h,i,k,l,m,n,o,p,r,s,t,u,v,w,z"
yg,l
yh,a
yi,"a,c,e,g,h,k,l,m,n,p,r,s,u,z"
yl,"a,i,v"
ym,k
yn,"c,f,i,o,t,z"
yo,"a,b,c,d,e,f,g,h,k,l,m,n,p,q,r,s,t,u,v,w,x,z"
yp,m
yr,"a,i,l,u"
ys,"a,l,q"
yt,u
yu,"a,b,c,d,e,h,i,k,l,m,n,p,q,r,s,t,v,z"
yv,"a,o"
yz,"a,n,q"
za,"b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,r,s,t,u,v,w,y,z"
zb,"a,i,l,o,r,y"
zd,"a,e,i,o,r,u,y,z"
ze,"a,b,c,d,f,g,h,i,k,l,m,n,o,p,q,r,s,t,u,v,w,y,z"
zg,"l,o,r"
zh,"a,e,i,o,u"
zi,"a,b,c,d,e,f,g,h,k,l,m,n,o,p,r,s,t,u,v,y,z"
zl,"a,o"
zm,"i,o,u"
zn,i
zo,"b,c,d,e,f,g,h,i,k,l,m,n,p,q,r,s,t,u,v,z"
zr,"e,u"
zs,"c,i,o"
zu,"a,b,c,e,f,g,h,i,k,l,m,n,o,p,r,s,t,v,z"
zv,"a,e,o"
zw,"a,e,i,o"
zy,"b,c,d,g,k,l,n,s,w"
