Key,Values
gi,"a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,r,s,t,u,v,w,x,y,z"
gj,"a,e,i,o,u"
gk,"a,e,h,i"
gl,"a,e,i,m,o,s,t,u,y"
gm,"a,e,i,o,u,y"
gn,"a,e,i,l,o,s,u,y"
go,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,p,r,s,t,u,v,w,y,z"
gp,"a,e,h,i,o,r"
gq,u
gr,"a,b,c,d,e,g,h,i,o,t,u,y,z"
gs,"a,b,c,d,e,f,g,h,i,k,l,m,n,o,p,r,t,u,w,y"
gt,"a,e,g,h,i,l,m,o,r,s,u"
gu,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,r,s,t,v,w,y,z"
gv,"a,i,o"
gw,"a,e,i,o,u,y"
gx,a
gy,"a,d,e,g,i,l,n,o,r,s,u"
gz,"i,o"
ha,"b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
hb,"a,e,i,l,o,r,u,y"
hc,"a,e,h,i,l,o,r,u"
hd,"a,e,i,o,r,u,y"
he,"a,b,c,d,f,g,h,i,j,k,l,m,n,o,p,r,s,t,u,v,w,x,y,z"
hf,"a,e,i,o,r,u"
hg,"a,e,h,i,o"
hi,"a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
hj,"a,e,i,o"
hk,"a,e,i,l,n,o,r,u,y"
hl,"a,b,d,e,f,g,h,i,k,m,n,o,q,r,s,t,u,v,w,y"
hm,"a,b,d,e,f,h,i,k,l,o,s,u,y"
hn,"a,b,c,d,e,f,g,h,i,k,l,m,o,r,s,u,w,y,z"
ho,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,p,q,r,s,t,u,v,w,x,y,z"
hp,"a,e,i,o,u"
hq,u
hr,"a,b,d,e,f,g,h,i,k,l,m,n,o,s,t,u,v,w,y,z"
hs,"a,b,c,e,h,i,l,m,n,o,p,t,u,w"
ht,"a,b,c,e,f,g,h,i,j,l,m,n,o,r,s,u,w,y,z"
hu,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,v,w,x,y,z"
hv,"a,e,i"
hw,"a,e,i,o,r,u,y"
hy,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,r,s,t,u,v,z"
hz,"a,i"
ia,"b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,y,z"
ib,"a,c,d,e,f,h,i,k,l,m,n,o,p,r,s,t,u,w,y,z"
ic,"a,b,d,e,h,i,k,l,m,n,o,p,q,r,s,t,u,w,y,z"
id,"a,b,c,e,f,g,h,i,j,k,l,m,n,o,p,r,s,t,u,w,y,z"
ie,"a,b,c,d,f,g,h,i,j,k,l,m,n,o,p,r,s,t,u,v,w,x,y,z"
if,"a,e,g,h,i,k,l,m,n,o,q,r,s,t,u,y,z"
ig,"a,b,c,d,e,f,h,i,k,l,m,n,o,p,r,s,t,u,w,y"
ih,"a,d,e,f,i,k,l,m,n,o,r,s,u,y"
ij,"a,e,h,i,k,l,m,n,o,u"
ik,"a,d,e,h,i,l,m,n,o,p,r,s,t,u,v,w,y,z"
il,"a,b,c,d,e,f,g,h,i,j,k,m,n,o,p,q,r,s,t,u,v,w,y,z"
im,"a,b,c,d,e,f,g,h,i,j,k,l,n,o,p,q,r,s,t,u,w,y,z"
in,"a,b,c,d,e,f,g,h,i,j,k,l,m,o,p,q,r,s,t,u,v,w,x,y,z"
io,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,p,q,r,s,t,u,v,w,x,y,z"
ip,"a,b,c,e,f,h,i,k,l,m,n,o,r,s,t,u,w,y,z"
iq,"a,b,i,u"
ir,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,s,t,u,v,w,y,z"
is,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,t,u,v,w,y,z"
it,"a,b,c,e,f,g,h,i,j,k,l,m,n,o,p,r,s,u,v,w,y,z"
iu,"b,c,d,e,f,g,k,l,m,n,o,r,s,t,z"
iv,"a,d,e,h,i,j,k,l,n,o,r,s,u,w,y"
iw,"a,e,i,k,o,u,y"
ix,"a,b,c,d,e,f,i,k,l,m,n,o,s,t"
iy,"a,c,e,g,i,n,o,u"
iz,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,y"
ja,"b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
jb,"a,h"
jc,"a,e,h,i,o,z"
jd,"a,e,i,o,r,u,y"
je,"a,b,c,d,f,g,h,i,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
jf,a
jg,"a,r"
jh,"a,o,u"
ji,"a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,r,s,t,v,w,y"
jk,"a,i,o,r,s,u"
jl,"a,i,o,u"
jm,"a,e,i,o,u"
jn,"a,b,e,i,o,y"
jo,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,p,q,r,s,t,u,v,w,y,z"
jp,"a,e,k,o,u"
jq,i
jr,"a,e,i"
js,"a,e,i,k,t,z"
jt,"a,c,e,i,k,m,o,u,y"
ju,"a,b,c,d,e,f,g,h,i,k,l,m,n,p,r,s,t,v,z"
jv,"a,o"
jw,a
jy,l
jz,"i,n"
ka,"b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,y,z"
kb,"a,e,i,l,o,r,u,y"
kc,"a,l,o,r,u"
kd,"a,e,i,o,u,y"
ke,"a,b,c,d,f,g,h,i,j,k,l,m,n,o,p,r,s,t,u,v,w,x,y,z"
kf,"a,e,i,l,o,u"
kg,"o,r,u"
kh,"a,d,e,i,l,m,n,o,r,s,t,u,w,y"
ki,"a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,r,s,t,u,v,w,x,y,z"
kj,"a,e,i,o"
kl,"a,c,e,i,j,o,u,v,y"
km,"a,e,i,o,u,y"
kn,"a,e,i,o,u,y"
ko,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,p,r,s,t,u,v,w,x,y,z"
kp,"a,e,o,u"
kq,u
kr,"a,c,d,e,i,m,o,p,s,t,u,y,z"
ks,"a,b,c,d,e,h,i,l,m,n,o,t,u,v,w,y"
kt,"a,e,g,h,i,o,u"
ku,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,r,s,t,v,w,x,y,z"
kv,"a,e,i,l,o"
kw,"a,e,h,i,o,r,u"
ky,"a,b,d,e,g,h,i,k,l,m,n,o,p,r,s,t,u,z"
kz,"a,e,i,y"
la,"b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
lb,"a,e,f,i,l,m,o,r,s,u,y"
lc,"a,e,h,i,k,l,o,r,s,u,y,z"
ld,"a,b,c,e,f,g,h,i,k,l,m,n,o,p,r,s,t,u,v,w,y,z"
le,"a,b,c,d,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
lf,"a,b,c,e,g,h,i,k,l,m,n,o,p,r,s,t,u,y,z"
lg,"a,e,h,i,j,l,n,o,r,u,y"
lh,"a,e,i,o,u,y"
li,"a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
lj,"a,e,i,k,o,u"
lk,"a,b,c,d,e,f,h,i,l,m,n,o,r,s,u,w,y"
lm,"a,b,c,d,e,f,g,h,i,k,l,o,q,r,s,u,w,y"
ln,"a,e,h,i,o,u,y"
lo,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,p,q,r,s,t,u,v,w,x,y,z"
lp,"a,e,f,h,i,l,m,o,r,s,u"
lq,"a,u"
lr,"a,e,i,o,u,y"
ls,"a,b,c,d,e,f,g,h,i,k,l,m,n,o,p,r,t,u,v,w,y,z"
lt,"a,b,c,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,u,v,w,y,z"
lu,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,v,w,x,y,z"
lv,"a,e,i,o,r,s,u,y"
lw,"a,e,h,i,o,r,y"
lx,o
ly,"a,b,c,d,e,f,g,h,i,k,l,m,n,o,q,r,s,t,u,v,w,z"
lz,"a,b,e,g,h,i,k,l,m,n,o,r,s,u,w,y"
ma,"b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
mb,"a,c,d,e,h,i,k,l,o,r,s,t,u,y"
mc,"a,b,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,z"
md,"a,e,h,i,j,o,t,u,y"
me,"a,b,c,d,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
mf,"a,e,i,l,o,r"
mg,"a,e,i,o,r,u,y"
mh,"a,e,i,o,u"
mi,"a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
mj,"a,e,i,o,u"
mk,"a,e,h,i,n,o,r,u"
ml,"a,e,i,n,o,s,u,y"
mn,"a,e,g,i,o,u,y"
mo,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,p,q,r,s,t,u,v,w,x,y,z"
mp,"a,b,c,e,f,h,i,k,l,m,n,o,r,s,t,u,w,y,z"
mq,u
mr,"a,c,d,e,h,i,k,n,o,s,t,u,y,z"
ms,"a,b,c,d,e,f,h,i,j,k,l,m,n,o,p,r,t,u,w,y,z"
mt,"a,e,h,i,m,n,o,s,v,z"
mu,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,r,s,t,w,x,y,z"
mv,"a,i,o"
mw,"a,e,i,o,r"
my,"a,c,d,e,g,h,i,j,k,l,n,o,r,s,t,u,v,x"
mz,"a,e,i,o,y"
na,"b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
nb,"a,e,h,i,l,o,r,u,y"
nc,"a,e,h,i,k,l,n,o,r,s,t,u,y,z"
nd,"a,b,c,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,y,z"
ne,"a,b,c,d,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
nf,"a,e,i,l,m,o,r,t,u"
ng,"a,b,c,d,e,f,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
nh,"a,e,i,o,u,y"
ni,"a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
nj,"a,b,e,h,i,o,p,u,w"
nk,"a,b,e,f,g,h,i,j,l,m,n,o,p,r,s,t,u,v,w,y"
nl,"a,e,i,o,u,y"
nm,"a,e,i,o,u,y"
no,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,p,q,r,s,t,u,v,w,x,y,z"
np,"a,e,h,i,l,o,r,u,y"
nq,"m,u"
nr,"a,e,h,i,o,u,y"
ns,"a,b,c,d,e,f,g,h,i,k,l,m,n,o,p,r,t,u,v,w,y,z"
nt,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,r,s,u,v,w,y,z"
nu,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,v,w,x,y,z"
nv,"a,e,i,l,o,r,u,y"
nw,"a,e,h,i,o,r,u,y"
nx,"m,o,w"
ny,"a,b,c,d,e,f,g,h,i,k,l,m,n,o,p,q,r,s,t,u,w,z"
nz,"a,b,e,f,h,i,k,l,m,n,o,p,s,u,v,w,y"
oa,"c,d,e,f,g,h,i,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
ob,"a,c,d,e,g,h,i,j,k,l,m,n,o,r,s,t,u,y,z"
oc,"a,e,h,i,j,k,l,n,o,q,r,s,t,u,y,z"
od,"a,b,c,e,f,g,h,i,j,k,l,m,n,o,p,r,s,t,u,v,w,y,z"
oe,"a,b,c,d,f,g,h,i,k,l,m,n,p,r,s,t,u,v,w,y,z"
of,"a,b,c,d,e,g,h,i,k,l,m,n,o,q,r,s,t,u,w,y,z"
og,"a,b,c,d,e,f,h,i,l,m,n,o,r,s,t,u,w,y"
oh,"a,b,d,e,f,g,i,k,l,m,n,o,r,s,t,u,w,y"
oi,"a,b,c,d,e,f,g,k,l,m,n,o,r,s,t,u,v,w,x,z"
oj,"a,c,d,e,h,i,k,l,m,n,o,r,s,t,u,v,w"
ok,"a,b,d,e,f,h,i,l,m,n,o,p,r,s,t,u,w,x,y,z"
ol,"a,b,c,d,e,f,g,h,i,j,k,m,n,o,p,q,r,s,t,u,v,w,y,z"
om,"a,b,c,d,e,f,g,h,i,j,k,l,n,o,p,q,r,s,t,u,v,w,y,z"
on,"a,b,c,d,e,f,g,h,i,j,k,l,m,o,p,q,r,s,t,u,v,w,y,z"
op,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,r,s,t,u,w,y"
oq,"i,u"
or,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,s,t,u,v,w,y,z"
os,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,t,u,v,w,y,z"
ot,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,r,s,u,v,w,y,z"
ou,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,p,q,r,s,t,v,w,x,y,z"
ov,"a,c,d,e,g,h,i,k,l,m,n,o,r,s,t,u,y"
ow,"a,b,c,d,e,f,g,h,i,k,l,m,n,o,p,r,s,t,u,y,z"
ox,"a,b,c,d,e,f,h,i,l,m,n,o,q,r,s,t,w"
oy,"a,b,c,d,e,f,h,i,k,l,m,n,o,r,s,t,u,v,z"
oz,"a,b,c,d,e,f,g,h,i,k,l,m,n,o,p,q,r,s,t,u,w,y"
pa,"b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
pb,"a,e,r,u"
pc,"a,h,i,k,o,r,s,u,z"
pd,"a,e,i,o,y"
pe,"a,b,c,d,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
pf,"a,e,h,i,l,m,n,o,r,u"
pg,"a,e,o,r"
ph,"a,e,i,l,m,n,o,r,s,t,u,y"
pi,"a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,z"
pj,"e,i,u"
pk,"a,e,i,o,u,y"
pl,"a,e,h,i,o,u,y,z"
pm,"a,e,i,o"
pn,"a,e,i,o"
po,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,p,q,r,s,t,u,v,w,x,y,z"
pr,"a,c,e,i,o,p,u,y,z"
ps,"a,c,e,h,i,k,l,m,n,o,r,t,w,y,z"
pt,"a,e,g,h,i,l,m,o,r,u,z"
pu,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,r,s,t,v,y,z"
pv,e
pw,"a,e,i,o"
py,"a,b,c,d,e,f,g,k,l,m,n,o,p,r,s,t,u,z"
pz,"a,i"
qa,"d,h,i,m,n,q,r,s,t,y,z"
qb,"a,o"
qd,a
qe,"l,z"
qi,"a,b,n,r,s,u"
qm,a
qo,s
qs,o
qu,"a,b,d,e,h,i,n,o,r,t,y,z"
qv,i
ra,"b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
rb,"a,e,h,i,j,k,l,m,o,r,s,u,y"
rc,"a,b,e,h,i,k,l,m,o,q,r,u,y,z"
rd,"a,b,c,e,f,g,h,i,j,l,m,n,o,q,r,s,t,u,v,w,y,z"
re,"a,b,c,d,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
rf,"a,e,h,i,k,l,m,n,o,r,s,t,u,y"
rg,"a,b,d,e,f,h,i,j,k,l,m,n,o,q,r,s,t,u,w,y"
rh,"a,e,i,m,n,o,u,y"
ri,"a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
rj,"a,e,i,o,u"
rk,"a,b,c,d,e,f,g,h,i,j,l,m,n,o,p,q,r,s,t,u,v,w,x,y"
rl,"a,b,d,e,g,h,i,k,m,o,q,s,t,u,w,y"
rm,"a,b,e,f,h,i,k,l,o,p,r,s,t,u,w,y"
rn,"a,b,c,d,e,f,g,h,i,k,l,m,o,p,q,r,s,t,u,w,y,z"
ro,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,p,q,r,s,t,u,v,w,x,y,z"
rp,"a,e,f,h,i,k,l,m,n,o,r,s,t,u,y"
rq,"a,u"
rs,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,r,t,u,v,w,y,z"
rt,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,u,v,w,y,z"
ru,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,v,w,x,y,z"
rv,"a,e,i,l,o,u,y"
rw,"a,e,h,i,o,y"
rx,"a,e,h,l"
ry,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,r,s,t,u,v,w,x,z"
rz,"a,b,c,d,e,f,h,i,k,l,m,n,o,p,r,t,u,w,y"
sa,"b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
sb,"a,e,i,l,o,r,u,y"
sc,"a,e,h,i,l,m,o,r,s,u,y,z"
sd,"a,e,i,n,o,u,y,z"
se,"a,b,c,d,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
sf,"a,e,i,l,o,r,u"
sg,"a,e,h,i,o,r,u"
